episode,reward,average_waiting_time
246,-1861448.0,97.945
247,-1707224.0,91.825
248,-1793573.0,94.03
249,-1847316.0,96.775
250,-1811924.0,94.555
251,-1982344.0,105.675
252,-1854805.0,95.75
253,-1854828.0,95.955
254,-1717645.0,94.675
255,-1812538.0,94.84
256,-1852639.0,96.735
257,-1635721.0,89.51
258,-1796460.0,95.325
259,-1874540.0,97.435
260,-1804884.0,94.26
261,-2081080.0,109.82
262,-1763538.0,93.65
263,-1780834.0,93.745
264,-1790887.0,94.215
265,-1710817.0,91.795
266,-1762498.0,93.22
267,-1842016.0,95.43
268,-1774998.0,93.525
269,-1799048.0,94.255
270,-1760980.0,94.0
271,-2087781.0,108.78
272,-1775362.0,94.03
273,-1853002.0,95.83
274,-1806912.0,94.42
275,-1758967.0,93.045
276,-1830999.0,94.995
277,-1787681.0,94.065
278,-1767721.0,93.24
279,-1869844.0,96.15
280,-1789533.0,93.81
281,-2086243.0,113.875
282,-1866082.0,98.495
283,-1871391.0,97.17
284,-1781238.0,93.72
285,-1861737.0,98.025
286,-1770500.0,93.91
287,-1887956.0,97.56
288,-1787763.0,94.265
289,-1864496.0,96.58
290,-1829844.0,95.085
291,-2087944.0,111.795
292,-1797822.0,94.585
293,-1790854.0,94.08
294,-1848636.0,95.78
295,-1805265.0,94.93
296,-1756075.0,93.575
297,-1777568.0,93.48
298,-1844836.0,95.405
299,-1853284.0,95.65
300,-1919877.0,98.455
301,-1864388.0,98.455
302,-1852225.0,96.18
303,-1840123.0,96.915
304,-1748738.0,92.97
305,-1822077.0,94.73
306,-1819511.0,96.905
307,-1838867.0,95.345
308,-1774713.0,94.125
309,-1938139.0,99.025
310,-1852730.0,96.3
311,-1787899.0,94.135
312,-1768241.0,93.685
313,-1759872.0,93.08
314,-1806557.0,94.685
315,-1729513.0,92.22
316,-1870250.0,96.605
317,-1755345.0,93.095
318,-1748534.0,92.8
319,-1722570.0,92.09
320,-1790080.0,96.525
321,-2097474.0,108.275
322,-1887900.0,98.85
323,-1811084.0,95.3
324,-1861923.0,96.615
325,-1764952.0,93.35
326,-1746430.0,93.62
327,-1738137.0,92.76
328,-1771232.0,93.43
329,-1849400.0,95.45
330,-1829847.0,95.205
331,-1877242.0,98.44
332,-1886177.0,98.02
333,-2103093.0,109.69
334,-1806019.0,95.015
335,-1884741.0,97.47
336,-1822639.0,96.965
337,-2005193.0,104.415
338,-2000988.0,104.295
339,-1944226.0,100.005
340,-1738121.0,92.825
341,-2218595.0,116.49
342,-1967452.0,103.36
343,-1921748.0,101.49
344,-2028851.0,106.865
345,-1916536.0,107.91
346,-1831874.0,96.925
347,-2025120.0,111.88
348,-1844106.0,98.64
349,-1920154.0,99.08
350,-2049691.0,106.825
351,-2043544.0,106.735
352,-1959254.0,104.77
353,-1827680.0,96.6
354,-1733416.0,92.455
355,-1911546.0,97.53
356,-1964786.0,100.04
357,-1800343.0,95.61
358,-1751865.0,93.005
359,-1781633.0,96.185
360,-1815643.0,95.075
361,-2139223.0,109.47
362,-1858993.0,100.33
363,-1777731.0,93.77
364,-1797795.0,94.15
365,-1818189.0,95.985
366,-1747219.0,92.725
367,-1886860.0,97.03
368,-1820288.0,94.88
369,-1766465.0,93.95
370,-1804712.0,95.2
371,-2062238.0,112.92
372,-1810665.0,98.085
373,-2177517.0,114.46
374,-1851049.0,98.39
375,-2036423.0,112.405
376,-1947652.0,105.675
377,-2019761.0,110.645
378,-1913772.0,98.67
379,-1838797.0,98.665
380,-1682066.0,93.765
381,-1988492.0,100.605
382,-1815740.0,94.55
383,-1755175.0,92.995
384,-1851347.0,95.595
385,-1709769.0,91.765
386,-1781753.0,93.845
387,-1758357.0,93.105
388,-1775124.0,93.585
389,-1823109.0,97.165
390,-1830683.0,95.115
391,-1926395.0,98.475
392,-1819771.0,94.865
393,-1742226.0,92.58
394,-1831355.0,95.88
395,-1844687.0,100.03
396,-1802572.0,94.925
397,-1906991.0,97.885
398,-1854471.0,95.79
399,-1736682.0,92.26
400,-1768891.0,93.415
401,-1788030.0,95.025
402,-1833748.0,96.49
403,-1876164.0,97.365
404,-1793068.0,94.065
405,-1792771.0,94.22
406,-1985175.0,101.885
407,-1740260.0,93.175
408,-1887723.0,96.98
409,-1854309.0,97.545
410,-1873131.0,101.21
411,-1780945.0,95.185
412,-1810899.0,94.53
413,-1807213.0,94.475
414,-1787323.0,94.24
415,-1755821.0,95.105
416,-1825108.0,95.5
417,-1839204.0,96.39
418,-1835352.0,96.275
419,-1856377.0,96.09
420,-1859942.0,96.34
421,-2024216.0,104.0
422,-1762392.0,93.52
423,-1799355.0,94.065
424,-1753222.0,92.965
425,-1755312.0,93.0
426,-1798021.0,95.025
427,-1757681.0,93.105
428,-1936817.0,101.835
429,-1890222.0,97.07
430,-1859206.0,96.345
431,-1881662.0,96.995
432,-1813683.0,94.81
433,-1849960.0,96.575
434,-1871625.0,99.18
435,-1808332.0,94.41
436,-1866685.0,97.05
437,-1821926.0,94.9
438,-1841574.0,95.43
439,-1823312.0,96.895
440,-1887628.0,96.865
441,-1748753.0,92.845
442,-1931209.0,101.175
443,-1882921.0,97.12
444,-1882816.0,96.59
445,-1834104.0,95.255
446,-1829606.0,97.22
447,-1865254.0,96.32
448,-1779727.0,94.075
449,-1836479.0,95.385
450,-1791889.0,94.675
451,-1927592.0,101.065
452,-1790042.0,95.08
453,-2093013.0,106.57
454,-1868366.0,96.595
455,-1928761.0,100.755
456,-1790963.0,97.095
457,-1818705.0,95.26
458,-1698233.0,91.21
459,-1802350.0,98.14
460,-1818407.0,95.185
461,-2059920.0,104.615
462,-1777716.0,93.735
463,-1746089.0,92.55
464,-1809604.0,94.6
465,-1774936.0,93.915
466,-1895731.0,99.58
467,-1821950.0,95.9
468,-1781465.0,94.545
469,-1729901.0,92.43
470,-2011794.0,105.75
471,-2019359.0,101.86
472,-1812150.0,95.055
473,-1765770.0,93.245
474,-1782129.0,94.05
475,-1859356.0,98.13
476,-1763010.0,93.03
477,-1765902.0,93.24
478,-1770825.0,93.63
479,-1838825.0,95.405
480,-1776907.0,93.46
481,-1920293.0,101.935
482,-1975003.0,102.785
483,-1776233.0,93.615
484,-1826542.0,94.82
485,-1803039.0,94.35
486,-1833296.0,95.25
487,-1944181.0,100.965
488,-1851466.0,97.93
489,-1769641.0,93.255
490,-1813232.0,94.63
491,-1961953.0,100.73
492,-1809560.0,95.705
493,-1807582.0,94.97
494,-1799469.0,99.31
495,-1736820.0,92.405
496,-1767190.0,93.35
497,-1775374.0,94.3
498,-2006141.0,100.83
499,-1748144.0,92.955
500,-1777244.0,93.53
